식별번호,시장명,시장유형,소재지도로명주소,소재지지번주소,위도,경도
12001,경창상가,상설장,경상남도 창원시 성산구 상남로 67,경상남도 창원시 성산구 상남동 73-5,35.22016512,128.6793262
12001,창원코아상사,상설장,경상남도 창원시 성산구 상남로 71,경상남도 창원시 성산구 상남동 73-4,35.22044242,128.6795415
12001,유신종합상가,상설장,경상남도 창원시 성산구 신촌로 21,경상남도 창원시 성산구 신촌동 15-6,35.20756147,128.6267807
12001,양곡종합상가,상설장,경상남도 창원시 성산구 신촌로102,경상남도 창원시 성산구 신촌동 33-2,35.20085109,128.628329
12001,중앙시장(창원중앙시장),상설장,경상남도 창원시 성산구 외동반림로 126길50,경상남도 창원시 성산구 중앙동 8-10,35.23017119,128.6719386
12001,덕산그린피아,상설장,경상남도 창원시 성산구 용지로 64,경상남도 창원시 성산구 중앙동 98-6,35.22168087,128.6760246
12001,가음시장대상가,상설장,경상남도 창원시 성산구 원이대로 883번지 15-24,,35.2080513,128.6969918
12001,가음정시장,상설장,경상남도 창원시 성산구 원이대로863번길24,경상남도 창원시 성산구 가음동 21-20,35.20828431,128.6977985
12001,반송시장,상설장,경상남도 창원시 성산구 윈이대로 473번길 20-11,경상남도 창원시 성산구 반림동 17-13,35.23513386,128.6710497
12001,동성올림픽타운,상설장,경상남도 창원시 성산구 중앙대로 77,경상남도 창원시 성산구 중앙동 97-2,35.22223335,128.6777326
12001,창원캔버라상가,상설장,경상남도 창원시 성산구 중앙대로61번길 4,경상남도 창원시 성산구 중앙동97-6,35.22123302,128.6768275
12001,사파동성종합상가,상설장,경상남도 창원시 성산구 창이대로 733,경상남도 창원시 성산구 사파동 93,35.21947669,128.7021885
12001,기산프라자,상설장,경상남도 창원시 오동동14길 29,경상남도 창원시 오동동 18-61,35.20526975,128.5808143
12001,명곡종합상가,상설장,경상남도 창원시 의창구 명서로116번길 20,경상남도 창원시 의창구 명서동 75-16,35.2484874,128.6462193
12001,대동중앙시장,상설장,경상남도 창원시 의창구 반계로 93,경상남도 창원시 의창구 팔용동124-4,35.25360735,128.6158353
12001,봉곡시장,상설장,경상남도 창원시 의창구 봉곡로111번길 16,경상남도 창원시 의창구 봉곡동145-1,35.24696954,128.6719711
12001,소계시장,상설장,경상남도 창원시 의창구 소계로 83-6,경상남도 창원시 의창구 소계동83-6,35.25675876,128.5989657
12001,소계옛길시장,상설장,경상남도 창원시 의창구 소계로 99-4,경상남도 창원시 의창구 소계동 723-15,35.25791345,128.5982669
12001,토월복합상가시장,상설장,경상남도 창원시 의창구 신월로 42,경상남도 창원시 의창구 실월동68-1,35.22803688,128.6919388
12001,롯데종합상가,상설장,경상남도 창원시 의창구 용지로225,경상남도 창원시 의창구 용호동 63,35.2340375,128.685432
12001,명서시장,상설장,경상남도 창원시 의창구 원이대로 189번길 20,경상남도 창원시 명서동 45-10,35.24860588,128.6447641
12001,창원도계부부시장,상설장,경상남도 창원시 의창구 원이대로 69번길 20,경상남도 창원시 의창구 도계동 400-1,35.25721476,128.6371392
12001,북동공설시장,상설장,경상남도 창원시 의창구 의안로 49번길 30,경상남도 창원시 의창우 북동 249-1,35.26618055,128.6206956
12001,소답시장,5일장,경상남도 창원시 의창구 의안로49번길 31-7,경상남도 창원시 의창구 북동 246 6,35.2657462,128.6207603
12001,창원기계공구상가,상설장,경상남도 창원시 의창구 창원대로 400,경상남도 창원시 팔용동 16-1,35.23376746,128.6410782
12001,지귀시장,상설장+5일장,경상남도 창원시 의창구 창이대로 205번길8-3,경상남도 창원시 의창구 봉곡동 80-14,35.24581106,128.6598468
12001,봉곡프라자상가,상설장,경상남도 창원시 의창구 창이대로205번길 5,경상남도 창원시 의창구 봉곡동61-10,35.24543957,128.6595184
12001,경화시장,5일장,경상남도 창원시 진해구 경화로 38번길,경상남도 창원시 진해구 경화동 906,35.15705817,128.6903949
12001,진해중앙시장,상설장,경상남도 창원시 진해구 벚꽃로 60번길 19-4,경상남도 창원시 진해구 벚꽃로 화천동 60-14,35.15108231,128.6652503
12001,마천시장,5일장,경상남도 창원시 진해구 웅동로 57,경상남도 창원시 진해구 마천동 131-22,35.12538771,128.7828095
12001,웅천시장,5일장,경상남도 창원시 진해구 웅천중로56번길 8,경상남도 창원시 진해구 성내동 327,35.11101903,128.7509026
12001,진해중부시장,상설장,경상남도 창원시 진해구 중초로 20,경상남도 창원시 진해구 경화동 1164-1,35.15507185,128.681561
12001,대동그린코아상가,상설장,경상남도 창원시 창원천로 292,경상남도 창원시 반지동 23,35.24497351,128.6698901
12001,합성대로상가,상설장,경상남도 창원시 회원구 3 15대로 747의1,경상남도 창원시 회원구 합성동 85-8,35.23893191,128.5824166
12001,코오롱타운상가,상설장,경상남도 창원시 회원구 내서읍 호원로361-2,경상남도 창원시 회원구 내서읍 호계리 10,35.26570599,128.5256081
12001,역전통합시장,상설장,경상남도 창원시 회원구 석전동15길 23,경상남도 창원시 회원구 석천2동 226-2,35.2361472,128.5794639
12001,양덕중앙시장,상설장,경상남도 창원시 회원구 양덕북10길 23,경상남도 창원시 회원구 양덕동 15-1,35.2326503,128.5842642
